"sampleBlogs.txt";"sampleNews.txt";"sampleTwitter.txt"
"●";27;19;0
"◚";0;0;6
"√";0;29;0
"☕";0;0;70
"���������";0;0;30
"���Ⓣ";0;0;38
"��";2;0;0
"�america";0;35;0
"�but";0;35;0
"�he";0;35;0
"�i";0;54;0
"�i�m";0;38;0
"�id";0;2;0
"�if";0;36;0
"�it�";0;97;0
"�old";0;38;0
"�our";0;1;0
"�sometim";0;22;0
"�the";0;26;0
"�then";0;36;0
"�wait";0;22;0
"�waterford";0;1;0
"�we";0;36;0
"�there";0;49;0
"‘";16;0;0
"‘‘‘he";0;4;0
"‘‘he";0;4;0
"‘‘im";0;36;0
"‘‘it";0;36;0
"‘‘they";0;16;0
"‘‘when";0;16;0
"‘almost";33;0;0
"‘an";30;0;0
"‘and";1;0;0
"‘apricot";33;0;0
"‘asian’";31;0;0
"‘aspirations’";12;0;0
"‘bare";33;0;0
"‘be";9;0;0
"‘be’";27;0;0
"‘befriended’";2;0;0
"‘boring’";2;0;0
"‘bring";32;0;0
"‘but";1;0;0
"‘cal’";31;0;0
"‘country’";21;0;0
"‘creami";1;0;0
"‘danc";1;0;0
"‘dreams’";12;0;0
"‘em";0;19;0
"‘establish";17;0;0
"‘exbury’";1;0;0
"‘feder";1;0;0
"‘fish";5;0;0
"‘fit";12;0;0
"‘flock";17;0;0
"‘for";5;0;0
"‘fray";33;0;0
"‘function";0;5;0
"‘go";32;0;0
"‘golden";35;0;0
"‘he";3;0;0
"‘heart";22;0;0
"‘heirloom";33;0;0
"‘imman";43;0;0
"‘infomercials’";16;0;0
"‘internal’";43;0;0
"‘is";4;23;0
"‘israellobby’";12;0;0
"‘jersey";0;3;0
"‘justice’";23;0;0
"‘lemon";2;0;0
"‘liber";42;0;0
"‘live";1;0;0
"‘martyrs’";25;0;0
"‘medium’";40;0;0
"‘nobodi";0;33;0
"‘oh";10;0;0
"‘one’";17;0;0
"‘pale";33;0;0
"‘palestinian’";30;0;0
"‘poltergeist";2;0;0
"‘real";16;0;0
"‘relat";43;0;0
"‘s";0;0;9
"‘sage";33;0;0
"‘secur";4;0;0
"‘shows’";17;0;0
"‘so";14;0;0
"‘spatula’";5;0;0
"‘special";29;0;0
"‘subscrib";20;0;0
"‘tardis’";2;0;0
"‘tell";10;0;0
"‘that’";2;0;0
"‘the";42;0;0
"‘there";0;4;0
"‘this";1;0;0
"‘three";5;0;0
"‘timber";33;0;0
"‘top";22;0;0
"‘trayvon";17;0;0
"‘tweet";0;0;9
"‘uncl";18;0;0
"‘unknown’";22;0;0
"‘up";1;0;0
"‘void’";43;0;0
"‘wakil";40;0;0
"‘want’";10;0;0
"‘watch";43;0;0
"‘we";39;0;0
"‘well’";7;0;0
"‘what";1;0;0
"‘white’";33;0;0
"‘wild";33;0;0
"‘work";2;0;0
"‘would";0;8;0
"‘you";4;0;0
"‘your";0;4;0
"–";2503;322;118
"—";678;1929;0
"—a";0;7;0
"—bi";10;0;0
"—larg";0;5;0
"—there";7;0;0
"​milltown";0;41;0
"”";0;33;127
"”good";2;0;0
"”heratiyan";2;0;0
"”if";2;0;0
"”industri";16;0;0
"”ronpaul";0;0;8
"”smethwick";13;0;0
"”the";16;0;0
"”they";2;0;0
"�’";1;0;0
"�but";26;0;0
"�mayb";0;0;47
"“";80;1;914
"“a";0;14;0
"“�";1;0;0
"“’sorri";4;0;0
"“accident";34;0;0
"“accident”";82;0;0
"“accidentally”";30;0;0
"“act";4;0;0
"“addison”";35;0;0
"“after";0;29;0
"“all";34;2;0
"“almost”";10;0;0
"“amid";1;0;0
"“an";27;0;0
"“and";86;2;0
"“ani";34;18;0
"“appar";1;0;0
"“as";3;0;0
"“attitudey”";30;0;0
"“awaken";20;0;0
"“back";0;41;0
"“base";0;0;44
"“be";0;0;50
"“becaus";2;2;0
"“bi";12;0;0
"“big";33;0;0
"“blessings”";0;17;0
"“bob";23;0;0
"“bodi";1;0;0
"“boneless”";0;0;30
"“brianna";0;37;0
"“buffett";42;0;0
"“bumper”";6;0;0
"“burn";16;0;0
"“busi";98;0;0
"“busy”";28;0;0
"“but";59;0;0
"“bwububuwha";1;0;0
"“caring”";5;0;0
"“carlton";1;0;0
"“carlton”";1;0;0
"“caus";36;0;0
"“challeng";0;9;0
"“cherrypicking”";28;0;0
"“christma";22;0;0
"“cold";29;0;0
"“colorado";0;1;0
"“commun";0;35;0
"“compass";31;0;0
"“connect";22;0;0
"“crispi";7;0;0
"“crowd";28;0;0
"“cute”";3;0;0
"“cymbeline”";0;11;0
"“debbi";2;0;0
"“delli";37;0;0
"“dhobi";37;0;0
"“did";55;0;0
"“dilut";0;5;0
"“display";0;3;0
"“do";157;0;0
"“doe";0;44;0
"“domain";2;0;0
"“don’t";16;0;0
"“dr";0;27;0
"“easi";33;0;0
"“emotobooks”";0;0;1
"“end";1;0;0
"“environmentalist”";1;0;0
"“epic";0;1;0
"“even";0;19;0
"“everi";34;0;0
"“everyon";25;0;0
"“exclus";12;0;0
"“expert”";15;0;0
"“ey";17;0;0
"“farther";18;0;0
"“fibr";18;0;0
"“film";34;0;0
"“firsts”";15;0;0
"“flex";34;0;0
"“fli";40;0;0
"“frog";18;0;0
"“from";35;0;0
"“fuck";30;0;0
"“game”";28;0;0
"“gateway";12;0;0
"“genderneutral”";5;0;0
"“go";18;0;0
"“god";0;19;0
"“green";16;0;0
"“grumpy”";12;0;0
"“guarantee”";0;1;0
"“hagerstown";0;39;0
