"sampleBlogs.txt";"sampleNews.txt";"sampleTwitter.txt"
"“from";35;0;0
"“fuck";30;0;0
"“game”";28;0;0
"“gateway";12;0;0
"“gender-neutral”";5;0;0
"“go";18;0;0
"“god";0;19;0
"“green";16;0;0
"“grumpy”";12;0;0
"“guarantee”";0;1;0
"“hagerstown";0;39;0
"“happy”";35;0;0
"“harold";1;0;0
"“have";0;26;30
"“he";35;3;0
"“he’";33;0;0
"“hel…";11;0;0
"“here";0;3;0
"“hes";0;39;0
"“hey";37;0;0
"“host”";2;0;0
"“hot";1;35;0
"“how";55;21;6
"“hows”";1;0;0
"“huge”";3;0;0
"“i";124;285;0
"“i’d";1;0;0
"“i’ll";32;0;0
"“i’m";38;0;0
"“i’v";21;0;0
"“iba";1;0;0
"“if";105;0;0
"“����";23;0;0
"“im";0;4;0
"“imagin";12;0;0
"“immigr";13;0;0
"“imperfect”";7;0;0
"“in";112;1;0
"“inform";0;34;0
"“inglewood";0;4;0
"“innov";1;0;0
"“it";7;127;64
"“it’";91;0;0
"“it’ll";10;0;0
"“it’s-“";35;0;0
"“jaan";37;0;0
"“jersey";0;28;0
"“joe’";3;0;0
"“joseph";8;0;0
"“lack";0;35;0
"“lamborghini";13;0;0
"“lassi";0;22;0
"“late";0;1;0
"“legends”";0;44;0
"“let";26;0;0
"“litani";0;19;0
"“look";0;3;0
"“lord";30;0;0
"“lycan";44;0;0
"“lyle";24;0;0
"“mac”";9;0;0
"“mad";2;0;0
"“main";9;0;0
"“major";23;0;0
"“marvel’";28;0;0
"“me";1;0;0
"“mess";0;18;0
"“mi";2;21;0
"“midnight";12;0;0
"“military-industri";7;0;0
"“miss";0;16;0
"“missing”";22;0;0
"“mommi";0;37;0
"“monumental”";33;0;0
"“moo-oom";1;0;0
"“mr";7;0;0
"“nation";8;0;0
"“never";0;0;29
"“no";18;23;0
"“not";17;39;63
"“noth";35;0;0
"“nuclear”";34;0;0
"“nutricide”";21;0;0
"“offseason";0;1;0
"“oh";105;1;0
"“okay";6;0;0
"“onc";0;31;0
"“one";5;0;0
"“ooooh";18;0;0
"“packing”";0;20;0
"“pari";23;0;0
"“participatori";37;0;0
"“peter";30;0;0
"“pharmageddon”";21;0;0
"“pig”";26;0;0
"“please";25;0;0
"“point";36;0;0
"“post";16;0;0
"“postpon";0;21;0
"“poverti";0;0;21
"“preference";3;0;0
"“pressing”";0;1;0
"“prince";23;0;0
"“problematic”";0;24;0
"“professor";1;0;0
"“programm";28;0;0
"“project";37;0;0
"“public";0;30;0
"“push";0;13;0
"“put";2;0;0
"“racial”";2;0;0
"“radic";1;0;0
"“radical";1;0;0
"“radical”";1;0;0
"“realli";21;0;0
"“regul";1;0;0
"“religi";0;1;0
"“resolved”";20;0;0
"“restaur";8;0;0
"“rhythm";0;4;0
"“risk";13;0;0
"“rt";0;0;6
"“russian";12;0;0
"“rustenburg”";4;0;0
"“safe";42;0;0
"“sandrino”";0;15;0
"“security”";0;3;0
"“she";0;66;0
"“shelter";31;0;0
"“shoot";24;0;0
"“signs…";2;0;0
"“silver";2;0;0
"“silverado”";0;1;0
"“sinc";1;0;0
"“sleep";6;0;0
"“smeg";13;0;0
"“so";39;0;0
"“soft";2;0;0
"“some";0;26;0
"“specul";20;0;0
"“spicey”";30;0;0
"“spineless”";0;0;30
"“spirit”";23;0;0
"“spiritu";23;0;0
"“state";3;0;0
"“still";6;0;0
"“stomp";0;13;0
"“stopandfrisk”";0;3;0
"“summer";8;0;0
"“tamil";25;0;0
"“tango";37;0;0
"“tell";1;0;0
"“thank";28;0;0
"“that";33;0;0
"“the";126;62;0
"“then";0;1;0
"“there";2;19;0
"“they";52;4;0
"“they’ll";2;0;0
"“theyll";0;6;0
"“third”";4;0;0
"“this";95;27;0
"“through";1;0;0
"“tiger”";35;0;0
"“time”";1;0;0
"“to";0;21;0
"“toxic”";13;0;0
"“tri";2;0;0
"“true";15;0;0
"“two";18;0;0
"“unclean”";0;1;0
"“under";10;0;0
"“units”";2;0;0
"“verbal";24;0;0
"“veri";7;0;0
"“view";2;0;0
"“vital";12;0;0
"“wait";34;0;0
"“wammc";0;15;0
"“war";5;0;0
"“we";81;84;0
"“well";58;36;0
"“were";0;39;0
"“weve";0;36;0
"“what";28;27;0
"“what’";21;0;0
"“when";0;51;0
"“where";22;0;0
"“whether";2;0;0
"“whi";1;0;0
"“while";2;12;0
"“whip";18;0;0
"“wow";1;0;0
"“yeah";34;0;0
"“yes";30;0;0
"“yet";20;0;0
"“you";64;31;0
"“you’r";11;0;0
"“youd";0;33;0
"�s";140;0;0
"’";115;0;0
"’it";1;0;0
"’s";158;0;0
"�c";0;0;68
"�f";0;0;68
"兩個俄勒�州立警��警官用谷歜翻譯應用程序溝通的中國人枥受附近dalles����日醫療問顜。";0;33;0
"�sop";0;0;2
"�watch";0;4;0
"�vocateur";0;3;0
"❤";0;0;44
"aaa";0;2;0
"aaaah";0;42;0
"aaaand";3;0;0
"aacc";17;0;0
"aahhhgggg";1;0;0
"aaja";2;0;0
"aam";0;0;61
"aamir";37;0;0
"aapl";0;13;0
"aaron";0;22;86
"aarp";0;18;11
"aba";38;0;0
"aback";35;0;0
"abalon";0;33;0
"abandon";45;39;6
"abandoned";42;0;0
"abased";1;0;0
"abating";0;16;0
"abbey";24;42;0
"abbi";25;6;0
"abbington";0;31;0
"abc";50;34;54
"abc--team";0;0;58
"abdelmoneim";0;38;0
"abdomin";36;0;0
"abdul";2;14;0
"abercrombi";0;0;3
"abercrombie";0;0;73
"aberdeen";0;43;0
"abeygunasekara";14;0;0
"abid";5;6;72
"abigail";0;31;0
"abil";251;284;148
"ability";0;0;14
"abl";629;528;324
"abnorm";43;0;0
"aboard";0;24;14
"abod";10;0;0
"abode";1;0;0
"abolfotoh";0;38;0
"abolish";0;20;6
"aboout";0;0;37
"abort";0;8;0
"abound";47;10;0
"about";5162;4030;4468
"about-fac";5;0;0
"about…";12;0;0
"abov";168;200;80
"above";142;0;0
"abq";0;0;8
"abraham";0;69;0
"abreast";5;0;0
"abreu";0;43;0
"abroad";70;0;85
"abrupt";0;10;0
"abs";22;0;0
"abscond";8;0;0
"absconding";1;0;0
"abseil";31;0;0
"absenc";69;6;0
"absence";37;0;0
"absent";11;0;0
"absent”";0;1;0
"absolut";259;107;156
"absolute";23;30;0
"absorb";22;0;6
"abstin";46;0;0
"abstract";43;34;0
"abstraction";43;0;0
"absurd";31;3;4
"abt";0;0;118
"abund";6;0;0
"abundance";0;0;43
"abus";148;169;12
"abuse";102;1;0
"abused";0;40;0
"abv";31;0;0
"abx";0;0;44
"academ";37;56;41
"academi";0;19;0
"academy";0;27;0
"acc";0;5;0
"acceler";0;2;0
"accelerator";0;0;3
"accent";72;20;10
"accented";0;26;0
"accept";263;108;211
"acceptable";0;30;0
"accepted";33;2;0
"accepteth";5;0;0
"access";93;161;238
"accessor";132;0;0
"accessori";26;0;1
"accessories";0;8;0
"accid";82;33;0
"accident";35;3;43
"accommod";71;163;0
"accompani";110;43;0
"accomplish";80;31;63
"accord";261;819;67
"accordingly";7;59;0
"account";425;322;439
"accountability";0;24;0
"accountant";0;4;0
"accountants";0;13;0
"accounts";0;8;0
"accredit";4;46;0
"accumul";23;0;18
"accur";7;1;0
"accuraci";0;3;0
"accuracy";0;44;0
"accuracywis";0;23;0
"accurate";6;0;0
"accus";179;123;103
"accusatori";0;36;0
"accustom";13;0;0
"ace";29;0;25
"acengers";0;0;32
"acer";12;0;0
"ach";0;0;20
"aches";0;0;5
"achiev";245;204;161
"achieved";1;0;0
"achievement";0;37;0
"acid";77;60;59
"ack";0;0;1
"acknowledg";109;80;27
"acknowledge";6;0;0
"acknowledged";0;17;0
"acmp";22;0;0
"acne";42;0;0
"acne…";20;0;0
"acorn";0;0;3
"acoust";49;1;7
"acoustic";0;0;45
"acquaint";6;0;0
"acquaintance";7;0;0
"acquaintances";22;0;0
"acquiesc";0;5;0
"acquir";62;62;0
"acquire";2;0;0
"acquisit";35;53;0
"acquit";0;4;0
"acr";39;250;0
"acres";0;0;12
"acrl";0;0;62
"across";495;394;79
"acryl";16;4;16
"act";340;445;226
"acta";0;15;0
"acting";0;1;0
"action";436;416;277
"actionable";0;0;39
"actions";29;8;9
"activ";334;189;3
"active";0;0;1
"activis";21;0;0
"activist";28;190;0
"activities";0;0;45
"activity";102;26;3
"activity’";2;0;0
"actor";115;32;5
"actors";0;0;3
"actress";31;30;117
"actual";805;425;338
"actually";100;113;63
"actualyl";0;0;3
"acut";20;0;0
"adam";146;278;1
"adams";9;0;9
"adapt";103;43;105
"add";617;428;365
"add-in-food";3;0;0
"add-lik";27;0;0
"add-up";19;0;0
"added";22;45;0
"adderley";0;0;1
"addi";0;0;1
"addict";102;44;97
"addiction";76;0;0
"addictive";14;0;0
"adding";11;0;0
"addison";35;62;0
"addit";301;451;49
"addition";10;119;0
"additions/correct";37;0;0
"addon";0;0;61
"address";136;51;142
"adel";0;0;90
"adele";7;23;0
"adenan";24;0;0
"adequ";21;0;0
"adhd";0;0;52
"adher";19;0;38
"adida";0;31;0
"adio";0;0;7
"adios";0;0;56
"adjac";32;116;0
"adjoin";1;48;0
"adjust";5;68;1
"adjustable";0;0;4
"adjusted";5;0;0
"adjustment";0;8;0
"adler";0;29;0
"adm";0;0;58
"administ";42;0;0
"administr";10;370;0
"administration";0;71;0
"administrativemarket";0;38;0
"administrators";0;5;0
"admir";136;33;4
"admirer";0;39;0
"admires";0;17;0
"admiss";14;79;20
"admission";0;48;0
"admit";305;150;22
"admits";0;32;0
"admitt";0;3;0
"admitted";21;0;0
"admonish";0;1;0
"adnan";20;0;0
"ado";32;0;0
"adob";1;0;0
"adolescence";23;0;0
"adopt";197;141;99
"adoptable";0;0;46
"adopte";76;0;0
"adoptions";9;0;0
"ador";246;8;10
"adorable";96;0;9
"adorn";2;0;0
"adp";0;1;0
"adrenalin";8;0;0
"adress";30;0;0
"adresses";0;0;11
"adrian";1;59;45
"ads";3;22;0
"adult";201;177;51
"adulteri";1;0;0
"adulthood";8;0;0
"adults";21;23;25
"advanc";53;97;72
"advantag";74;101;46
"advantage";0;74;21
"advantages";20;0;0
"advent";36;5;0
"adventur";172;6;3
"adventure";0;26;44
"adventures";2;32;0
"advers";27;0;0
"adversari";30;0;0
"advert";16;0;0
"advertis";272;112;52
"advertise";1;0;0
"advertisement";7;0;0
"advertising";8;0;0
"advertori";33;0;0
"advic";54;72;90
"advice";23;1;6
"advil";33;0;0
"advis";26;104;0
"advise";0;0;7
"advisement";0;0;49
"advisor";0;1;0
"advisori";0;38;0
"advisors";0;0;5
"advoc";20;34;0
"advocaci";25;6;0
"advocacy";12;0;0
"advocate…aren";2;0;0
"adwords";0;0;18
"aegean";0;34;0
"aerobics";0;0;28
"aeromexico";0;0;13
"aerosmith";0;0;11
"aerospace";0;1;0
"aesthet";0;0;42
"aethelr";10;0;0
"ホラ�ド";31;0;0
"afam";0;0;6
"afc";0;2;0
"affair";89;100;0
"affairs";49;0;0
"affect";81;218;61
"affected";0;2;0
"affection";14;0;0
"affili";0;48;5
"affin";0;44;0
"affirm";40;95;0
"affirmationism’";86;0;0
"affleck";0;38;0
"afflict";18;0;0
"afford";40;104;1
"affordable";0;28;0
"affton";0;6;0
"afghan";24;179;1
"afghanistan";152;150;1
"afi";7;0;0
"aficionado";0;6;0
"afikommen";0;0;33
"afire";1;0;0
"afl";0;3;0
"afloat";16;0;0
"afon";8;0;0
"afor";5;0;0
"aforement";6;0;0
"afoul";0;20;0
"afraid";125;77;7
"afresh";5;0;0
"africa";268;78;0
"africa’";8;0;0
"african";87;5;2
"african-american";18;0;0
"africanamerican";0;29;0
"africanamericans";0;23;0
"africans";42;0;0
"afro-centric";0;0;1
"afscm";0;0;6
"aft";43;0;0
"after";2314;2946;1337
"afterglow";0;10;0
"aftermath";0;61;0
"afternoon";92;227;214
"afterparti";0;35;7
"aftershock";33;0;0
"afterward";0;90;30
"afterwards";11;0;22
"マヴァク";31;0;0
"again";1102;491;1075
"again�";0;38;0
"again”";0;8;0
"against";757;1124;317
"agatewar";0;0;61
"age";562;402;246
"age/race/gend";7;0;0
"agenc";16;325;3
"agencies";0;34;0
"agency";124;12;0
"agenda";49;20;91
"agent";191;175;116
"agents";35;2;0
"ages";0;4;36
"aggress";46;133;0
"aggression";2;0;0
"aggressive";59;0;0
"aggressiveness";44;0;0
"aggressor";20;0;0
"aggro";44;0;0
"agha";0;25;0
"agit";0;2;0
"agnost";16;0;0
"ago";639;532;297
"agon";5;0;0
"agre";148;235;190
"agree";0;0;136
"agreed";19;0;41
"agreement";54;107;110
"agreements";0;0;55
"agrees";0;41;0
"agricultur";1;29;0
"agriculture";0;10;0
"agron";6;0;0
"agua";0;34;0
"aguilera";0;31;0
"aha";0;0;111
"ahah";0;0;2
"ahahaha";0;0;8
"ahahahaha";0;0;8
"ahalf";2;0;0
"ahead";139;92;93
"ahh";0;0;125
"ahha";0;0;30
"ahhhh”";18;0;0
"ahi";0;0;23
"aho";0;0;26
"ahuja";0;17;0
"ahwahne";0;19;0
"aid";67;93;72
"aida";2;0;0
"aidsrel";0;1;0
"aight";0;0;70
"aika";2;0;0
"ail";9;1;0
"ailment";0;2;0
"aim";163;44;1
"ain";9;0;187
"ain’t";23;0;0
"aint";0;0;150
"aintt";0;0;8
"aio";43;0;0
"air";501;326;397
"air-cell-up";6;0;0
"air-pressur";23;0;0
"airbnb";0;27;0
"airborn";0;0;56
"airbrush";40;0;11
"airbrushing";40;0;0
"aircraft";19;39;0
"airfar";2;72;0
"airi";4;0;0
"airlift";0;41;0
"airlin";39;85;0
"airline";16;0;0
"airlines";0;0;39
"airplan";0;81;0
"airplanes";0;29;0
"airport";81;111;15
"airports";0;19;0
"airserv";0;5;0
"airtight";0;7;0
"airtraff";0;11;0
"airwav";37;0;0
"airwaves";0;0;58
"airway";0;36;0
"aisl";0;1;0
"aisle";4;0;0
"aisles";4;0;0
"ait";132;0;0
"ait-";88;0;0
"ajay";8;0;0
"aka";12;50;0
"akbar";30;0;0
"akers’";1;0;0
"akhtar";0;27;0
"akin";0;75;0
"akins";0;5;0
"akron";0;30;1
"akshardham";1;0;0
"al-bad";14;0;0
"al-maliki";7;0;0
"al-rai";52;0;0
"al-sadr";7;0;0
"al-shammari";14;0;0
"ala";17;25;0
"alabama";0;132;28
"alad";0;14;0
"alam";44;0;0
"alameda";0;1;44
"alamo";0;2;0
"alan";69;0;0
"alani";0;0;54
"alapaha";12;0;0
"alarm";66;37;7
"alarming";0;1;0
"alas";7;0;0
"alaska";46;8;65
"alaskans";9;0;0
"alastair";0;4;0
"alba";0;0;48
"albani";0;3;0
"albazzaz";0;25;0
"albeit";2;1;0
"alberen";0;0;64
"albers";26;0;0
"albert";2;1;117
"alberta";0;1;0
"alberto";0;27;33
"album";304;124;144
"albums";0;3;0
"albuquerque";0;0;12
"albus";0;4;0
"alc";0;0;43
"alcalde";1;0;0
"alchemist";10;0;0
"alcohol";35;44;58
"alcohol-";24;0;0
"alcoholcontrol";0;1;0
"alcoholics";0;0;53
"alcov";16;0;0
"alcs";0;0;11
"alderman";0;6;0
"aldermen";0;1;0
"aldo";38;0;0
"aldridg";0;41;0
"ale";63;4;0
"alec";0;2;0
"alert";27;7;15
"ales";20;0;0
"alessandrini";0;19;0
"alessandro";0;53;0
"alex";0;113;61
"alexand";34;40;0
"alexander";0;39;0
"alexandra";0;24;65
"alexi";2;5;0
"alfcio";0;24;0
"alfonso";1;0;0
"alford";0;20;0
"alfr";131;0;0
"alfred";31;0;58
"alfred’";31;0;0
"alfredo";4;15;0
"algebra";0;0;59
"ali";0;73;116
"alia";1;0;27
"alias";0;31;0
"alic";2;0;0
"alicia";0;72;8
"alien";44;28;0
"aliens";2;0;0
"align";61;34;53
"alignment";0;0;4
"alik";110;1;0
"alike";0;0;34
"alike…your";35;0;0
"alioto";0;40;0
"alison";0;6;2
"alittl";0;0;27
"aliv";44;3;117
"alive";36;0;20
"alizza";0;32;0
"all";7217;3536;7094
"all-";24;0;63
"all-lov";14;0;0
"all-new";3;0;0
"all-pow";2;0;0
"all-se";14;0;0
"all”";0;6;30
"allafrica";13;0;0
"allah";28;0;0
"allahu";30;0;0
"allan";22;0;0
"allaria";0;1;0
"alleg";123;298;0
"allegations";38;0;0
"allegheni";0;15;0
"allen";2;39;6
"allentown";0;0;23
"allergi";43;9;0
"allergies";0;0;45
"allergists";0;8;0
"alley";18;0;0
"alleyoop";0;30;0
"alli";48;0;0
"allianc";11;39;0
"alliance";13;0;0
"alliances";5;0;0
"allies";33;0;0
"allison";21;20;0
"allman";0;0;7
"allnatur";0;7;0
"alloc";0;43;0
"allocated";0;33;0
"allot";5;0;0
"allow";539;458;101
"allowance";0;4;0
"allowed";31;0;23
"allowing";8;0;0
"allpow";0;8;0
"allr";15;0;0
"allrecip";1;0;0
"allrid";0;2;0
"allstar";0;213;0
"allstarcalib";0;16;0
"allstat";0;27;0
"allston";0;0;46
"alltim";0;16;0
"allur";0;4;0
"alma";24;0;2
"almanac";5;0;0
"almighti";24;0;0
"almond";51;0;0
"almonds";0;2;0
"almost";709;292;547
"aloha";129;69;0
"alon";102;183;228
"alone";124;32;262
"alone—took";5;0;0
"along";543;873;9
"alongsid";23;96;0
"alonso";50;0;0
"aloo";7;0;0
"alot";0;0;31
"aloud";35;0;40
"alp";0;4;0
"alpaca";0;23;0
"alpacca’";23;0;0
"alpfa";0;0;44
"alpha";5;0;0
"alqaida";0;2;0
"alrashim";0;28;0
"alreadi";577;490;618
"already";62;14;137
"already<";0;0;54
"alright";77;0;71
"alshon";0;0;54
"also";2698;3260;957
"also-";0;0;1
"alston";0;24;0
"altar";0;22;0
"alter";33;16;0
"altercation";0;33;0
"altern";46;88;57
"alternative";60;93;0
"alternatives";0;34;0
"altho";0;0;23
"although";343;234;0
"altitude";0;0;41
"altman";37;0;0
"alto";1;61;0
"altogeth";1;2;0
"alton";26;41;46
"altruism";17;0;0
"altruist";32;0;0
"altruistic";17;0;0
"alum";0;0;43
"aluminium";39;0;0
"alumni";0;0;61
"alvarez";0;41;0
"alway";1168;470;1402
"always";12;70;5
"always-sharp-ey";1;0;0
"alzheimer’";24;0;0
"am-pm";0;0;15
"ama";0;92;40
"amal";1;0;0
"amanda";0;12;0
"amani";0;33;0
"amanti";0;7;0
"amar";0;102;38
"amass";14;0;0
"amateur";1;15;0
"amateur’";1;0;0
"amateurish";2;0;0
"amaz";371;32;794
"amazed";0;0;3
"amazing";122;77;330
"amazingly";3;0;0
"amazon";122;0;35
"ambassador";0;15;0
"amber";0;31;0
"ambianc";0;9;0
"ambient";29;0;0
"ambient/neo-class";24;0;0
"ambiga";1;0;0
"ambigu";39;2;0
"ambit";34;0;0
"ambiti";64;0;0
"ambitious";0;38;0
"ambival";19;0;0
"ambivalence";0;42;0
"amblyopia";10;0;0
"ambr";0;31;0
"ambul";33;36;0
"ambush";50;0;0
"ame";0;38;0
"amelia";30;0;0
"amen";31;64;54
"amenable";2;0;0
"amend";31;127;2
"amendment";0;5;0
"amenities";14;20;0
"amerenu";0;26;0
"america";275;432;118
"american";455;835;103
"americans";15;0;0
"americanstyl";0;4;0
"amethyst’";33;0;0
"amezaga";0;15;0
"amharic";3;0;0
"ami";16;167;2
"amid";0;13;0
"amidst";2;0;0
"amigo";0;0;83
"amini";0;3;0
"amish";9;0;0
"amish—a";6;0;0
"amiss";0;12;0
"amitabh";2;0;0
"amman";0;35;0
"ammo";40;0;0
"ammonium";102;0;0
"ammunit";0;4;0
"amnesti";0;39;0
"among";406;605;145
"amongst";61;0;1
"amor";38;2;0
"amorim";1;0;0
"amount";390;309;201
"amp";60;0;0
"amphitheater";0;54;0
"amphitheatr";0;44;0
"ampl";4;0;0
"amplifi";18;0;0
"amr";0;38;0
"amrich";21;0;0
"amsterdam";46;0;0
"amtrust";0;40;0
"amu";0;0;44
"amus";20;21;24
"amused";2;0;0
"amusing";0;0;2
"amz";0;0;3
"ana";1;48;50
"ana-themrecords";0;0;5
"an’";46;0;0
"anaheim";0;13;0
"anai";0;0;13
"anakin";0;0;46
"anal";7;0;0
"analog";34;0;0
"analys";1;0;2
"analysi";8;34;1
"analysis";23;34;66
"analyst";0;163;0
"analyt";0;0;4
"analytical";7;0;0
"analyz";12;5;0
"anarchism";1;0;0
"anarchist";0;29;0
"anatom";0;0;8
"anatomi";38;0;0
"anb";6;0;0
"anc";153;0;0
"anc’";84;0;0
"ancestor";30;0;5
"ancho";0;33;0
"anchor";37;51;34
"anchorag";0;0;9
"anchors";0;0;65
"ancient";47;57;72
"ancients";0;17;0
"and";54105;44315;20688
"and/";18;0;0
"and/or";220;0;38
"anddddd";1;0;0
"anderson";10;9;106
"andersoncleveland";0;10;0
"andi";130;44;0
"andor";0;19;0
"andr";0;7;0
"andrade";1;0;0
"andray";0;22;0
"andrea";4;41;0
"andrei";8;0;0
"andrew";0;168;111
"andrews";0;21;38
"andril";80;0;0
"android";1;178;34
"andronicus";0;0;4
